Nouveau Code;Nouveau Nom;Anciens Code;Anciens Nom
84;Auvergne-Rhône-Alpes;83;Auvergne
2;Martinique;2;Martinique
27;Bourgogne-Franche-Comté;26;Bourgogne
28;Normandie;25;Basse-Normandie
32;Hauts-de-France;31;Nord-Pas-de-Calais
75;Nouvelle-Aquitaine;72;Aquitaine
75;Nouvelle-Aquitaine;54;Poitou-Charentes
76;Occitanie;73;Midi-Pyrénées
32;Hauts-de-France;22;Picardie
75;Nouvelle-Aquitaine;74;Limousin
44;Grand Est;42;Alsace
28;Normandie;23;Haute-Normandie
44;Grand Est;41;Lorraine
1;Guadeloupe;1;Guadeloupe
11;Ile-de-France;11;Ile-de-France
76;Occitanie;91;Languedoc-Roussillon
84;Auvergne-Rhône-Alpes;82;Rhône-Alpes
94;Corse;94;Corse
3;Guyane;3;Guyane
52;Pays de la Loire;52;Pays de la Loire
4;La Réunion;4;La Réunion
44;Grand Est;21;Champagne-Ardenne
27;Bourgogne-Franche-Comté;43;Franche-Comté
53;Bretagne;53;Bretagne
6;Mayotte;6;Mayotte
24;Centre-Val de Loire;24;Centre
93;Provence-Alpes-Côte d'Azur;93;Provence-Alpes-Côte d'Azur